subject_order,subject,category,question_number,difficulty,question,option_a,option_b,option_c,option_d,correct_option
1,Mathematics,Mathematics,21,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=24.",2605,2601,2596,2610,B
1,Mathematics,Mathematics,22,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=25.",2804,2813,2809,2818,C
1,Mathematics,Mathematics,23,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=26.",3034,3029,3020,3025,D
1,Mathematics,Mathematics,24,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=27.",3249,3253,3244,3258,A
1,Mathematics,Mathematics,25,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=28.",3485,3481,3476,3490,B
1,Mathematics,Mathematics,26,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=29.",3716,3725,3721,3730,C
1,Mathematics,Mathematics,27,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=30.",3978,3973,3964,3969,D
1,Mathematics,Mathematics,28,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=31.",4225,4229,4220,4234,A
1,Mathematics,Mathematics,29,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=32.",4493,4489,4484,4498,B
1,Mathematics,Mathematics,30,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=33.",4756,4765,4761,4770,C
1,Mathematics,Mathematics,31,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=34.",5050,5045,5036,5041,D
1,Mathematics,Mathematics,32,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=35.",5329,5333,5324,5338,A
1,Mathematics,Mathematics,33,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=36.",5629,5625,5620,5634,B
1,Mathematics,Mathematics,34,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=37.",5924,5933,5929,5938,C
1,Mathematics,Mathematics,35,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=38.",6250,6245,6236,6241,D
1,Mathematics,Mathematics,36,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=39.",6561,6565,6556,6570,A
1,Mathematics,Mathematics,37,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=40.",6893,6889,6884,6898,B
1,Mathematics,Mathematics,38,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=41.",7220,7229,7225,7234,C
1,Mathematics,Mathematics,39,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=42.",7578,7573,7564,7569,D
1,Mathematics,Mathematics,40,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=43.",7921,7925,7916,7930,A
1,Mathematics,Mathematics,41,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=44.",8285,8281,8276,8290,B
1,Mathematics,Mathematics,42,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=45.",8644,8653,8649,8658,C
1,Mathematics,Mathematics,43,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=46.",9034,9029,9020,9025,D
1,Mathematics,Mathematics,44,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=47.",9409,9413,9404,9418,A
1,Mathematics,Mathematics,45,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=48.",9805,9801,9796,9810,B
1,Mathematics,Mathematics,46,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=49.",10196,10205,10201,10210,C
1,Mathematics,Mathematics,47,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=50.",10618,10613,10604,10609,D
1,Mathematics,Mathematics,48,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=51.",11025,11029,11020,11034,A
1,Mathematics,Mathematics,49,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=52.",11453,11449,11444,11458,B
1,Mathematics,Mathematics,50,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=53.",11876,11885,11881,11890,C
1,Mathematics,Mathematics,51,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=54.",12330,12325,12316,12321,D
1,Mathematics,Mathematics,52,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=55.",12769,12773,12764,12778,A
1,Mathematics,Mathematics,53,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=56.",13229,13225,13220,13234,B
1,Mathematics,Mathematics,54,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=57.",13684,13693,13689,13698,C
1,Mathematics,Mathematics,55,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=58.",14170,14165,14156,14161,D
1,Mathematics,Mathematics,56,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=59.",14641,14645,14636,14650,A
1,Mathematics,Mathematics,57,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=60.",15133,15129,15124,15138,B
1,Mathematics,Mathematics,58,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=61.",15620,15629,15625,15634,C
1,Mathematics,Mathematics,59,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=62.",16138,16133,16124,16129,D
1,Mathematics,Mathematics,60,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=63.",16641,16645,16636,16650,A
1,Mathematics,Mathematics,61,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=64.",17165,17161,17156,17170,B
1,Mathematics,Mathematics,62,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=65.",17684,17693,17689,17698,C
1,Mathematics,Mathematics,63,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=66.",18234,18229,18220,18225,D
1,Mathematics,Mathematics,64,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=67.",18769,18773,18764,18778,A
1,Mathematics,Mathematics,65,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=68.",19325,19321,19316,19330,B
1,Mathematics,Mathematics,66,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=69.",19876,19885,19881,19890,C
1,Mathematics,Mathematics,67,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=70.",20458,20453,20444,20449,D
1,Mathematics,Mathematics,68,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=71.",21025,21029,21020,21034,A
1,Mathematics,Mathematics,69,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=72.",21613,21609,21604,21618,B
1,Mathematics,Mathematics,70,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=73.",22196,22205,22201,22210,C
1,Mathematics,Mathematics,71,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=74.",22810,22805,22796,22801,D
1,Mathematics,Mathematics,72,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=75.",23409,23413,23404,23418,A
1,Mathematics,Mathematics,73,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=76.",24029,24025,24020,24034,B
1,Mathematics,Mathematics,74,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=77.",24644,24653,24649,24658,C
1,Mathematics,Mathematics,75,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=78.",25290,25285,25276,25281,D
1,Mathematics,Mathematics,76,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=79.",25921,25925,25916,25930,A
1,Mathematics,Mathematics,77,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=80.",26573,26569,26564,26578,B
1,Mathematics,Mathematics,78,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=81.",27220,27229,27225,27234,C
1,Mathematics,Mathematics,79,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=82.",27898,27893,27884,27889,D
1,Mathematics,Mathematics,80,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=83.",28561,28565,28556,28570,A
1,Mathematics,Mathematics,81,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=84.",29245,29241,29236,29250,B
1,Mathematics,Mathematics,82,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=85.",29924,29933,29929,29938,C
1,Mathematics,Mathematics,83,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=86.",30634,30629,30620,30625,D
1,Mathematics,Mathematics,84,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=87.",31329,31333,31324,31338,A
1,Mathematics,Mathematics,85,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=88.",32045,32041,32036,32050,B
1,Mathematics,Mathematics,86,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=89.",32756,32765,32761,32770,C
1,Mathematics,Mathematics,87,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=90.",33498,33493,33484,33489,D
1,Mathematics,Mathematics,88,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=91.",34225,34229,34220,34234,A
1,Mathematics,Mathematics,89,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=92.",34973,34969,34964,34978,B
1,Mathematics,Mathematics,90,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=93.",35716,35725,35721,35730,C
1,Mathematics,Mathematics,91,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=94.",36490,36485,36476,36481,D
1,Mathematics,Mathematics,92,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=95.",37249,37253,37244,37258,A
1,Mathematics,Mathematics,93,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=96.",38029,38025,38020,38034,B
1,Mathematics,Mathematics,94,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=97.",38804,38813,38809,38818,C
1,Mathematics,Mathematics,95,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=98.",39610,39605,39596,39601,D
1,Mathematics,Mathematics,96,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=99.",40401,40405,40396,40410,A
1,Mathematics,Mathematics,97,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=100.",41213,41209,41204,41218,B
1,Mathematics,Mathematics,98,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=101.",42020,42029,42025,42034,C
1,Mathematics,Mathematics,99,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=102.",42858,42853,42844,42849,D
1,Mathematics,Mathematics,100,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=103.",43681,43685,43676,43690,A
1,Mathematics,Mathematics,101,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=104.",44525,44521,44516,44530,B
1,Mathematics,Mathematics,102,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=105.",45364,45373,45369,45378,C
1,Mathematics,Mathematics,103,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=106.",46234,46229,46220,46225,D
1,Mathematics,Mathematics,104,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=107.",47089,47093,47084,47098,A
1,Mathematics,Mathematics,105,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=108.",47965,47961,47956,47970,B
1,Mathematics,Mathematics,106,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=109.",48836,48845,48841,48850,C
1,Mathematics,Mathematics,107,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=110.",49738,49733,49724,49729,D
1,Mathematics,Mathematics,108,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=111.",50625,50629,50620,50634,A
1,Mathematics,Mathematics,109,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=112.",51533,51529,51524,51538,B
1,Mathematics,Mathematics,110,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=113.",52436,52445,52441,52450,C
1,Mathematics,Mathematics,111,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=114.",53370,53365,53356,53361,D
1,Mathematics,Mathematics,112,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=115.",54289,54293,54284,54298,A
1,Mathematics,Mathematics,113,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=116.",55229,55225,55220,55234,B
1,Mathematics,Mathematics,114,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=117.",56164,56173,56169,56178,C
1,Mathematics,Mathematics,115,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=118.",57130,57125,57116,57121,D
1,Mathematics,Mathematics,116,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=119.",58081,58085,58076,58090,A
1,Mathematics,Mathematics,117,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=120.",59053,59049,59044,59058,B
1,Mathematics,Mathematics,118,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=121.",60020,60029,60025,60034,C
1,Mathematics,Mathematics,119,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=122.",61018,61013,61004,61009,D
1,Mathematics,Mathematics,120,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=123.",62001,62005,61996,62010,A
1,Mathematics,Mathematics,121,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=124.",63005,63001,62996,63010,B
1,Mathematics,Mathematics,122,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=125.",64004,64013,64009,64018,C
1,Mathematics,Mathematics,123,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=126.",65034,65029,65020,65025,D
1,Mathematics,Mathematics,124,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=127.",66049,66053,66044,66058,A
1,Mathematics,Mathematics,125,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=128.",67085,67081,67076,67090,B
1,Mathematics,Mathematics,126,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=129.",68116,68125,68121,68130,C
1,Mathematics,Mathematics,127,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=130.",69178,69173,69164,69169,D
1,Mathematics,Mathematics,128,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=131.",70225,70229,70220,70234,A
1,Mathematics,Mathematics,129,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=132.",71293,71289,71284,71298,B
1,Mathematics,Mathematics,130,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=133.",72356,72365,72361,72370,C
1,Mathematics,Mathematics,131,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=134.",73450,73445,73436,73441,D
1,Mathematics,Mathematics,132,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=135.",74529,74533,74524,74538,A
1,Mathematics,Mathematics,133,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=136.",75629,75625,75620,75634,B
1,Mathematics,Mathematics,134,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=137.",76724,76733,76729,76738,C
1,Mathematics,Mathematics,135,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=138.",77850,77845,77836,77841,D
1,Mathematics,Mathematics,136,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=139.",78961,78965,78956,78970,A
1,Mathematics,Mathematics,137,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=140.",80093,80089,80084,80098,B
1,Mathematics,Mathematics,138,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=141.",81220,81229,81225,81234,C
1,Mathematics,Mathematics,139,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=142.",82378,82373,82364,82369,D
1,Mathematics,Mathematics,140,Medium,"[Medium] In Mathematics, evaluate the expression (2x+3)^2 at x=143.",83521,83525,83516,83530,A
1,Mathematics,Mathematics,141,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=144.",84685,84681,84676,84690,B
1,Mathematics,Mathematics,142,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=145.",85844,85853,85849,85858,C
1,Mathematics,Mathematics,143,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=146.",87034,87029,87020,87025,D
1,Mathematics,Mathematics,144,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=147.",88209,88213,88204,88218,A
1,Mathematics,Mathematics,145,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=148.",89405,89401,89396,89410,B
1,Mathematics,Mathematics,146,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=149.",90596,90605,90601,90610,C
1,Mathematics,Mathematics,147,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=150.",91818,91813,91804,91809,D
1,Mathematics,Mathematics,148,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=151.",93025,93029,93020,93034,A
1,Mathematics,Mathematics,149,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=152.",94253,94249,94244,94258,B
1,Mathematics,Mathematics,150,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=153.",95476,95485,95481,95490,C
1,Mathematics,Mathematics,151,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=154.",96730,96725,96716,96721,D
1,Mathematics,Mathematics,152,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=155.",97969,97973,97964,97978,A
1,Mathematics,Mathematics,153,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=156.",99229,99225,99220,99234,B
1,Mathematics,Mathematics,154,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=157.",100484,100493,100489,100498,C
1,Mathematics,Mathematics,155,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=158.",101770,101765,101756,101761,D
1,Mathematics,Mathematics,156,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=159.",103041,103045,103036,103050,A
1,Mathematics,Mathematics,157,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=160.",104333,104329,104324,104338,B
1,Mathematics,Mathematics,158,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=161.",105620,105629,105625,105634,C
1,Mathematics,Mathematics,159,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=162.",106938,106933,106924,106929,D
1,Mathematics,Mathematics,160,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=163.",108241,108245,108236,108250,A
1,Mathematics,Mathematics,161,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=164.",109565,109561,109556,109570,B
1,Mathematics,Mathematics,162,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=165.",110884,110893,110889,110898,C
1,Mathematics,Mathematics,163,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=166.",112234,112229,112220,112225,D
1,Mathematics,Mathematics,164,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=167.",113569,113573,113564,113578,A
1,Mathematics,Mathematics,165,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=168.",114925,114921,114916,114930,B
1,Mathematics,Mathematics,166,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=169.",116276,116285,116281,116290,C
1,Mathematics,Mathematics,167,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=170.",117658,117653,117644,117649,D
1,Mathematics,Mathematics,168,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=171.",119025,119029,119020,119034,A
1,Mathematics,Mathematics,169,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=172.",120413,120409,120404,120418,B
1,Mathematics,Mathematics,170,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=173.",121796,121805,121801,121810,C
1,Mathematics,Mathematics,171,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=174.",123210,123205,123196,123201,D
1,Mathematics,Mathematics,172,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=175.",124609,124613,124604,124618,A
1,Mathematics,Mathematics,173,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=176.",126029,126025,126020,126034,B
1,Mathematics,Mathematics,174,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=177.",127444,127453,127449,127458,C
1,Mathematics,Mathematics,175,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=178.",128890,128885,128876,128881,D
1,Mathematics,Mathematics,176,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=179.",130321,130325,130316,130330,A
1,Mathematics,Mathematics,177,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=180.",131773,131769,131764,131778,B
1,Mathematics,Mathematics,178,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=181.",133220,133229,133225,133234,C
1,Mathematics,Mathematics,179,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=182.",134698,134693,134684,134689,D
1,Mathematics,Mathematics,180,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=183.",136161,136165,136156,136170,A
1,Mathematics,Mathematics,181,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=184.",137645,137641,137636,137650,B
1,Mathematics,Mathematics,182,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=185.",139124,139133,139129,139138,C
1,Mathematics,Mathematics,183,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=186.",140634,140629,140620,140625,D
1,Mathematics,Mathematics,184,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=187.",142129,142133,142124,142138,A
1,Mathematics,Mathematics,185,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=188.",143645,143641,143636,143650,B
1,Mathematics,Mathematics,186,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=189.",145156,145165,145161,145170,C
1,Mathematics,Mathematics,187,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=190.",146698,146693,146684,146689,D
1,Mathematics,Mathematics,188,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=191.",148225,148229,148220,148234,A
1,Mathematics,Mathematics,189,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=192.",149773,149769,149764,149778,B
1,Mathematics,Mathematics,190,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=193.",151316,151325,151321,151330,C
1,Mathematics,Mathematics,191,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=194.",152890,152885,152876,152881,D
1,Mathematics,Mathematics,192,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=195.",154449,154453,154444,154458,A
1,Mathematics,Mathematics,193,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=196.",156029,156025,156020,156034,B
1,Mathematics,Mathematics,194,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=197.",157604,157613,157609,157618,C
1,Mathematics,Mathematics,195,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=198.",159210,159205,159196,159201,D
1,Mathematics,Mathematics,196,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=199.",160801,160805,160796,160810,A
1,Mathematics,Mathematics,197,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=200.",162413,162409,162404,162418,B
1,Mathematics,Mathematics,198,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=201.",164020,164029,164025,164034,C
1,Mathematics,Mathematics,199,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=202.",165658,165653,165644,165649,D
1,Mathematics,Mathematics,200,Hard,"[Hard] In Mathematics, evaluate the expression (2x+3)^2 at x=203.",167281,167285,167276,167290,A
2,Physics,Science,1,Easy,"[Easy] In Physics, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
2,Physics,Science,2,Easy,"[Easy] In Physics, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
